CARRERA,"administración de empresas, gestión de calidad, gestión de datos ...","agroindustria, agronomía","análisis de datos, análisis de materiales, análisis de sistemas ...","aprendizaje no supervisado, aprendizaje supervisado","arcgis, qgis",arquitectura de computadoras,"aws, wireless",balances de materia y energía,base de datos,buenas prácticas agrícolas,"caracterización, clasificación","cartografía, topografía","ciberseguridad, seguridad informática","comercio exterior, economía internacional",control de plagas,control de procesos,"corrosión, regresión","costos, costos industriales","crm, scrum","css, desarrollo web, html ...","cálculo, cálculo numérico","cálculo estructural, diseño estructural, geología estructural","deep learning, inteligencia artificial, machine learning","diseño de pcb, diseño de plantas","distribución eléctrica, generación eléctrica","econometría, modelos econométricos","electrónica, electrónica analógica, electrónica digital ...","energía renovable, sustentabilidad, trazabilidad","estructura de datos, estructuras","etl, latex, lte","fibra óptica, óptica","finanzas, mercados financieros","geofísica, geomecánica, geotecnia","gis, git","ingeniería de perforación, ingeniería de yacimientos, perforación","ingeniería de procesos, ingeniería de producción, ingeniería de software","instalaciones eléctricas, mediciones eléctricas, protecciones eléctricas","instrumentación, instrumentación científica","java, python",just in time,"legislación ambiental, normas ambientales","logística, supply chain","macroeconomía, microeconomía","marketing, ventas","matemática aplicada, programación matemática","matlab, matplotlib","mecánica clásica, mecánica de materiales",modelado,"modelado ambiental, modelado geológico","modelado de datos, modelado matemático","modelado de reservorios, reservorios","optimización, optimización de procesos",producción,protocolos de comunicación,"react, revit","sensores, sensores remotos","simulación, simulación de procesos",sistemas de información,"telefonía ip, voz sobre ip","teoría cuántica, teoría de juegos, teoría de números","termodinámica, termodinámica química","tratamiento de aguas, tratamientos térmicos",visualización de datos,planificación de la producción,planificación de obras,procesamiento de alimentos,procesamiento de lenguaje natural,redes,redes neuronales
ADMINISTRACIÓN DE EMPRESAS,0.0019821472858387694,0.00019157088122605365,0.0006659683708088785,0.0,0.00019157088122605365,0.0,0.0007397441335154753,0.0,0.0008450480735856511,0.0,0.001028439445125648,0.0,0.0005059575417137266,0.0003973950185606743,0.0,0.00027000825177571336,0.00019157088122605365,0.0011363969245943499,0.0008649650419625033,0.0005370447843136481,0.0005622995833124401,0.0,0.0005027512951031665,0.0,0.0,0.0,0.0006612224302674844,0.00054732555523016,0.0004683414545421875,0.0003312047099299976,0.0,0.0012645045370209458,0.0,0.0003815405831980698,0.0,0.00019157088122605365,0.0,0.00019157088122605365,0.0005021920155907567,0.0,0.0,0.0009326479371670433,0.0,0.0019312943542845623,0.0,0.0,0.0,0.0005482837593560596,0.0,0.00044141570613872195,0.0,0.000868369914917509,0.0013682511017763662,0.00019157088122605365,0.0,0.0,0.0,0.0003316249995890251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008189198690037468,0.0
AGROINDUSTRIA,0.002099322926204939,0.002643298912321562,0.001020837459493574,0.0,0.0,0.0,0.0,0.0,0.0005924170616113745,0.0010254946991488571,0.0026460633456001905,0.0,0.0008378042431120231,0.0,0.0005924170616113745,0.0008326151106110347,0.0,0.0024277952705457984,0.0008374337971262561,0.0005924170616113745,0.0013218506919774593,0.0,0.0,0.0,0.0,0.0,0.0014483209129275798,0.0011808373880476098,0.0016733889173716008,0.0,0.0,0.0011835510010701922,0.0,0.0,0.0,0.0005924170616113745,0.0005924170616113745,0.0,0.0007948108924762287,0.0008378042431120231,0.0,0.002057390902231589,0.0,0.004048124637780146,0.0,0.0,0.0,0.0,0.0,0.0,0.0005924170616113745,0.0008372646983231931,0.005198188080729849,0.0,0.0,0.0,0.0005924170616113745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005924170616113745,0.0,0.0015646317344464769,0.0
CIENCIA DE DATOS E INTELIGENCIA ARTIFICIAL,0.0007445376727232905,0.00011261802825334722,0.0013990207584029144,0.00018019916761437073,0.0001487888332247124,0.0,0.0008850497419233902,0.0,0.000509709345741881,0.0,0.0005470088811232293,0.0,0.00040278832299475096,0.00014763162634034592,8.590327291469805e-05,0.00014802625475690686,0.0002413125956303241,0.0003694140260462007,0.0006422972746961964,0.0004879521513452945,0.0002530630024268718,0.0,0.003950303457447511,0.0,0.0,0.00012148557360820334,0.0003312062340211738,0.000307628451104138,0.00043990417587580423,0.0005351827002794351,0.00011261802825334722,0.00037148221226777206,0.0,0.0007042495992122174,0.0,0.0006487693192742619,0.0,0.0,0.0016681330473696336,0.00012148557360820333,0.0,0.00046461477371217703,0.0,0.001122934386260995,0.000148204935246497,0.00045845232452974935,0.0,0.0008587049267488555,0.0,0.0004051885553286006,8.590327291469805e-05,0.000787530433961206,0.0009796935423962024,0.00024206439147632884,0.0004250605045598958,0.00023431694518830464,0.00028975384913392183,0.00025279152775600067,0.0,8.590327291469805e-05,0.0,0.0,0.0006765969715396285,0.00012122514716491558,0.0,0.0,0.00032376532590275097,0.0006122276311754191,0.00039714597480817576
COMPUTACIÓN,0.0012526820454776247,0.0,0.001728284078202807,0.0,0.0,0.0003168963512549216,0.001974824781565713,0.0,0.0009434200204739505,0.0,0.0006893866794399821,0.0,0.0006286979915342343,0.000243842965130456,0.0,0.000243842965130456,0.0,0.0006401863564471596,0.0012913625234357918,0.0012025215826612517,0.0,0.0,0.0009969087809849344,0.0,0.0,0.0,0.0008408998606947283,0.0004219540887480065,0.0008429505615634497,0.003088011316936001,0.000243842965130456,0.000686641619091797,0.0,0.0013967151873252768,0.0,0.0005918061818171471,0.000243842965130456,0.0,0.002865358491459466,0.0,0.0,0.0008749924036210165,0.0,0.0018183195092375166,0.0,0.0,0.0,0.0013748293951177748,0.0,0.0013329503338342947,0.000243842965130456,0.000901490160645766,0.0019106293063951719,0.0,0.0007007203914547442,0.0,0.0,0.0008335210850518483,0.000243842965130456,0.0,0.0,0.0,0.00048623907683101114,0.0,0.0,0.0,0.0,0.0011003277909638252,0.0
ECONOMÍA,0.0012684072727030848,0.0005643310304760953,0.0011920684113021468,0.0,0.0003990422984836393,0.0,0.0007974652635081812,0.0,0.0003990422984836393,0.0,0.0007980845969672786,0.0,0.0,0.0005047530183828219,0.0,0.0,0.0,0.0009385562790485578,0.0012018966129643393,0.0003990422984836393,0.0007022621073135576,0.0,0.0005353714231843072,0.0,0.0003990422984836393,0.0,0.0006911615353427283,0.0003990422984836393,0.0,0.0003990422984836393,0.0,0.001282580960726279,0.0,0.0006463608501318948,0.0,0.0,0.0,0.0,0.001506392094388008,0.0,0.0,0.0015788942167925765,0.0005643310304760954,0.003199824994262859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005418142923580625,0.0020222677740920083,0.0,0.0005643310304760953,0.0003990422984836393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005637198853103828,0.0
ELECTRICIDAD,0.0014446163754591995,0.0008368289379644664,0.0,0.0,0.0,0.0,0.0,0.0,0.000484027105517909,0.0,0.0010768070183543863,0.0,0.0,0.000484027105517909,0.0,0.000484027105517909,0.000484027105517909,0.002227945633670141,0.000484027105517909,0.000484027105517909,0.0009912146559074182,0.0,0.0008375267443416992,0.0,0.0018060506275157087,0.0,0.0035084908443297922,0.0014101483217989171,0.0019581579688925043,0.0,0.000484027105517909,0.0008383595389975204,0.0,0.0006837763952506386,0.00068451769717962,0.0,0.003979551959316284,0.002423579916209075,0.0009147252492962906,0.0,0.000484027105517909,0.001365435081170499,0.0,0.0019335836229833212,0.0,0.0,0.0,0.000484027105517909,0.0,0.0,0.0,0.0013514199785985086,0.002759909222555251,0.000484027105517909,0.0009657914421375635,0.001386634165774396,0.0,0.000484027105517909,0.0,0.0,0.0,0.000834663057652016,0.0,0.0,0.000484027105517909,0.000484027105517909,0.0,0.00212696567664474,0.0
ELECTRÓNICA Y AUTOMATIZACIÓN,0.00037760816450608555,0.00015750511891636477,0.0003851535149301885,0.0,0.0,0.0,0.0005662805656482527,0.0,0.00022136624771010028,0.0,0.00038580717322148024,0.0,0.00038776392473443834,0.0003450764262121065,0.0,0.00015750511891636477,0.0,0.00035143864672514585,0.00044460158487836675,0.000375798491068276,0.00015750511891636477,0.0,0.00035193367848932366,0.0,0.00019273031190987876,0.0,0.0012436506990444345,0.00021131529162070784,0.0005678927824010064,0.00015750511891636477,0.00015750511891636477,0.00038580717322148024,0.0,0.00022199449901862082,0.0,0.00022274587531471017,0.00015750511891636477,0.00046915200817903083,0.0005904764393700963,0.0,0.0,0.0006679710979563244,0.0,0.0015593440751087066,0.0,0.0,0.0,0.00022274587531471017,0.0,0.0,0.00015750511891636477,0.00038050251539630057,0.001196701360602552,0.0002514005990348905,0.00038506311246208136,0.00040550962976338665,0.00015750511891636477,0.00015750511891636477,0.0,0.0,0.0,0.00021131529162070776,0.00015750511891636477,0.0,0.0,0.00027241233235365304,0.0,0.0008737623955236079,0.0
FÍSICA,0.001072139850034433,0.0,0.0007992963497868579,0.0,0.0,0.0,0.0008762165813959696,0.0,0.0008762165813959696,0.0,0.0010731417642929847,0.0,0.0006195786864931846,0.0006195786864931846,0.0,0.0006195786864931846,0.0,0.001497529762049084,0.0011949424250186742,0.0,0.0006195786864931846,0.0,0.0015513724005728822,0.0,0.0,0.0,0.0011360983370025982,0.0006195786864931846,0.0006195786864931846,0.0006195786864931846,0.0,0.0014610937636426618,0.0,0.0008762165813959696,0.0006195786864931846,0.0,0.0,0.0,0.0014751858094029183,0.0,0.0,0.0010700912069950197,0.0,0.0036782604146860776,0.0,0.0006195786864931846,0.0,0.0025727046415110464,0.0,0.0010725124238929807,0.0,0.0006195786864931846,0.003132590837481081,0.0,0.0,0.0,0.0010329144510106956,0.0006195786864931846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018006349333457915,0.0
GEOLOGÍA,0.002625242860641286,0.0,0.000931098696461825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018981181232039217,0.0013873238538762436,0.0,0.000931098696461825,0.0,0.0,0.0,0.0016112045791020248,0.0,0.0,0.0,0.000931098696461825,0.0013167724044442224,0.0,0.0,0.0,0.000931098696461825,0.0,0.000931098696461825,0.0,0.0,0.00186219739292365,0.002189453817832402,0.0016112045791020248,0.002147059670283384,0.0013167724044442224,0.0,0.0,0.0,0.0,0.0,0.0016112045791020248,0.0,0.005420937761099273,0.0,0.0,0.0,0.002078403911420167,0.0018593990182575143,0.0,0.0,0.0013167724044442224,0.005603547011305938,0.0,0.0,0.0,0.0,0.000931098696461825,0.0,0.0,0.0,0.000931098696461825,0.0,0.0,0.0,0.0,0.0,0.0018601807167658144,0.0
INGENIERÍA AMBIENTAL,0.0020125785049556304,0.00030349013657056146,0.0010541315308164082,0.0,0.0004925326225985681,0.0,0.0007620226611865356,0.0,0.0005256603361362298,0.0,0.0006772908160540903,0.0,0.0006063229407606934,0.0,0.0,0.00030349013657056146,0.0,0.0009387677747015251,0.0006435131805815503,0.000524166072257955,0.0008380963910129831,0.0,0.0008029594267267347,0.00030349013657056146,0.0,0.0,0.00094350044734459,0.0007059234880975651,0.0006069802731411229,0.00030349013657056146,0.0,0.0008569226942910064,0.0,0.0008001260328230442,0.00030349013657056146,0.0005251695653886417,0.00030349013657056146,0.0,0.0009518598876807196,0.00030349013657056146,0.000923287726450504,0.0010368665324215094,0.0,0.002056261665125468,0.0,0.0,0.0,0.00030349013657056146,0.0,0.0,0.00030349013657056146,0.0006776743891196479,0.0020104275291409077,0.0,0.0,0.0,0.00030349013657056146,0.0004291998671845508,0.0,0.0,0.00030349013657056146,0.000638291476672134,0.0,0.0,0.0,0.0,0.0,0.0009479709935763152,0.0
INGENIERÍA CIVIL,0.0007662942239075273,0.0,0.0006401168611172826,0.0,0.0008279811991478809,0.0,0.0006339259168693525,0.0,0.00036556810101557024,0.0,0.000631110139576833,0.0006673373144172609,0.0004482533145882187,0.0002587991718426501,0.0,0.0002587991718426501,0.000365997298750801,0.0014128235851976862,0.00036583546830981374,0.0,0.0008882402461967096,0.0004993908615563546,0.0,0.0,0.0002587991718426501,0.0,0.0006309011360184337,0.0006618394379770215,0.0011825752360025506,0.0002587991718426501,0.0,0.0006317669647374673,0.0008345132860380615,0.0008648079895128444,0.0003656009401107193,0.0002587991718426501,0.0003656009401107193,0.0005530299763980057,0.0003656009401107193,0.0,0.0,0.0007420445335016367,0.0,0.0015961268600422592,0.0,0.0,0.0,0.0009381916796584081,0.0,0.0,0.0002587991718426501,0.0008958530716360284,0.001509072885726533,0.0,0.0008408116125105452,0.0,0.00044780803670029775,0.0002587991718426501,0.0,0.0,0.0002587991718426501,0.0004130803321098654,0.0,0.0003657615969900492,0.0002587991718426501,0.0002587991718426501,0.0,0.0009261206635152489,0.0
INGENIERÍA DE LA PRODUCCIÓN,0.0008949592543811254,0.0,0.0008413888382083656,0.0,0.0,0.0,0.0005174866621268117,0.0,0.0003137201937792182,0.0,0.00044414834554741284,0.0,0.00037830422296437666,0.00022207417277370642,0.0,0.0006325002925984986,0.0,0.0011762329530863405,0.0003137201937792182,0.0,0.00036019676502726817,0.0,0.0005008411168245065,0.0,0.0,0.0,0.0006998453282308549,0.0004621844958358001,0.0005392066817660677,0.0003137201937792182,0.0,0.0006152294080147575,0.0,0.00022207417277370642,0.0,0.0007479147903071481,0.00038442871371412635,0.00038424805657289227,0.0005359638922751712,0.00022207417277370642,0.00022207417277370642,0.0012279384350920228,0.0,0.001960081858212743,0.0,0.00022207417277370642,0.0,0.0004960928893947545,0.0,0.0,0.00022207417277370642,0.0010588522929946696,0.0023862622438279952,0.0,0.0003835503460115393,0.000319003484478004,0.0003828440904820958,0.0,0.0,0.0,0.00022207417277370642,0.0003661267647191964,0.0,0.00022207417277370642,0.0,0.0,0.0,0.0005383278952082234,0.0
INGENIERÍA QUÍMICA,0.004910006264635751,0.0008710801393728223,0.00188045927907012,0.0,0.0,0.0,0.0008710801393728223,0.0,0.001508755058857907,0.0,0.001231893347014891,0.0,0.0012305592618360795,0.0,0.0,0.0013762593251631366,0.0,0.0036420657918409065,0.00204375668246516,0.0008710801393728223,0.0017895753242357722,0.0,0.001231893347014891,0.0008710801393728223,0.0008710801393728223,0.0,0.0026022869385233026,0.0017402735973924084,0.0017660129066369666,0.0008710801393728223,0.0,0.0021276365170944276,0.0,0.0,0.0,0.0023747117258558245,0.001231893347014891,0.0014306515170833898,0.0018293050554749933,0.0008710801393728223,0.0,0.002375266110580783,0.0,0.005679467653265116,0.0,0.0,0.0,0.0011832917895116,0.0,0.0,0.0008710801393728223,0.0024994196989164895,0.006600864824943548,0.0,0.0010653099721425305,0.0008710801393728223,0.001230448730247529,0.0015072563186497828,0.0,0.0,0.0008710801393728223,0.0022981753715727317,0.0,0.0,0.0,0.0008710801393728223,0.0,0.0028338339957478327,0.0
MATEMÁTICA,0.0,0.0,0.006985308601343368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006627189265435672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041398632080775445,0.0,0.014698951083612728,0.0033625082368417885,0.006649365601058898,0.0,0.0,0.0,0.0,0.0,0.004793631504933181,0.002506265664160401,0.0,0.002506265664160401,0.0,0.0,0.0,0.0,0.0,0.0,0.005335257455998294,0.0,0.0,0.0,0.0,0.012627346033417048,0.002506265664160401,0.0,0.0,0.011500959224751256,0.0,0.005579876806220704,0.002506265664160401,0.003512989746916071,0.007515798104428024,0.0,0.0,0.0,0.004195991421843053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002506265664160401,0.0
MATEMÁTICA APLICADA,0.0026109660574412533,0.0,0.006523811106351187,0.0,0.0,0.0,0.0036924636093292294,0.0,0.0,0.0,0.007381167166767339,0.0,0.0,0.0,0.0,0.0,0.0,0.005791737488570701,0.00431280788517739,0.0,0.003439654892556605,0.0,0.01043818665937772,0.0,0.0,0.0,0.0,0.0,0.0,0.0026109660574412533,0.0,0.0,0.0,0.0036924636093292294,0.0,0.0,0.0,0.0,0.005148337461158988,0.0,0.0,0.006857734571671042,0.0,0.00864900341360479,0.0,0.0,0.0,0.011990102149113693,0.0,0.005218569197729277,0.0026109660574412533,0.004254964577239485,0.009037632862377774,0.0,0.0,0.0,0.003690830938770549,0.0026109660574412533,0.0,0.0,0.0,0.0,0.0026109660574412533,0.0,0.0,0.0,0.0,0.005217879765930814,0.0
MATERIALES,0.0013701301017282812,0.0,0.001475696212873499,0.0,0.0,0.0,0.000664886489126984,0.0,0.0010459191100648862,0.0,0.001552615168402582,0.0,0.0004701457451810061,0.0004701457451810061,0.0004701457451810061,0.0008061470348290957,0.0,0.0026258630773617433,0.0004701457451810061,0.0,0.001237470787454462,0.0,0.0004701457451810061,0.0,0.0004701457451810061,0.0,0.0013063953264713505,0.0011412877314862116,0.001967129542319074,0.0004701457451810061,0.0,0.0011084937112011701,0.0,0.0,0.0009191823306611434,0.000664886489126984,0.000664886489126984,0.000781715038800255,0.0,0.0004701457451810061,0.0004701457451810061,0.0029609013874252682,0.0,0.0036238424670924376,0.0,0.0006644583031356606,0.0,0.0,0.0,0.0,0.0,0.0009563618955608539,0.0041034764668929176,0.0,0.0004701457451810061,0.0,0.0008893422845368345,0.0006641664469148186,0.0,0.0,0.0004701457451810061,0.0004701457451810061,0.0,0.0008132475765435464,0.0,0.0,0.0,0.0016919270515792502,0.0
MECÁNICA,0.0008660217773258389,0.000612369871402327,0.0012199035816771327,0.0,0.000612369871402327,0.0,0.0,0.0,0.000860657873062723,0.0,0.0011345229919701078,0.0,0.000612369871402327,0.0,0.000612369871402327,0.0008439693388794944,0.0012228919449314335,0.0019070659121527608,0.0009837881633341092,0.0008650839146281808,0.0027227374812923083,0.0009876163028507655,0.0010057488925975086,0.0,0.0,0.0,0.0026372702158605626,0.0008292629115940084,0.0024841487189779634,0.0,0.0,0.0008660217773258389,0.0,0.0,0.0016381537705416774,0.0008439693388794944,0.0012990326659887586,0.0012952564841743792,0.0009919046481509663,0.0,0.000612369871402327,0.0018999228739334693,0.0,0.0021263222364136733,0.0,0.0,0.000612369871402327,0.001285721911880477,0.0,0.0,0.000612369871402327,0.0014937485638719314,0.004098182437988932,0.0,0.0008650839146281808,0.0011587104629171517,0.0017721698169111484,0.0,0.0,0.0,0.00106065573029325,0.000612369871402327,0.0,0.0,0.0,0.0008580989370693047,0.0,0.0011763559101563587,0.0
MECATRÓNICA,0.001644424253286702,0.0,0.0014960296046493563,0.0,0.0,0.0,0.001991462459969543,0.0,0.0016508383420534138,0.0,0.0007473841554559044,0.0,0.001047162415865195,0.0,0.0,0.0016301809650469095,0.0012330031881852914,0.0012751067448638035,0.0020692758791225696,0.002336031729541556,0.001972698480727678,0.0007473841554559044,0.0018713280690827539,0.0007473841554559044,0.0,0.0,0.002046755092175596,0.0010566860547830406,0.001235593453974532,0.0,0.0007473841554559044,0.0010300462857923875,0.0,0.0019436378247420596,0.0,0.0017753839461924158,0.0007473841554559044,0.0014375244824160977,0.003233556003904953,0.0,0.0,0.0019633506115101264,0.0,0.0018897755820138243,0.0,0.0,0.0,0.0012772164735751572,0.0,0.0,0.0007473841554559044,0.0024738347300702823,0.0025796396720008247,0.001590096943685143,0.0007473841554559044,0.0020949426387762895,0.001580492929600714,0.001181679078318812,0.0,0.0,0.0,0.0,0.0007473841554559044,0.0,0.0,0.0,0.0,0.0020370080904407823,0.0
PETRÓLEOS,0.0006447453255963894,0.0,0.0012894906511927789,0.0,0.0,0.0,0.0009118075837350709,0.0,0.0,0.0,0.0006447453255963894,0.0,0.0,0.0,0.0,0.0,0.0,0.0009118075837350709,0.0009118075837350709,0.0,0.0006447453255963894,0.0,0.0006447453255963894,0.0,0.0,0.0,0.0009118075837350709,0.0,0.0009118075837350709,0.0,0.0006447453255963894,0.0006447453255963894,0.0,0.0006447453255963894,0.0,0.0,0.0,0.0006447453255963894,0.0,0.0,0.0,0.001052864707837171,0.0,0.0031544523834845313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006447453255963894,0.0021014752755749754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006447453255963894,0.0,0.0,0.0,0.0,0.0006447453255963894,0.0,0.0006447453255963894,0.0
SISTEMAS DE INFORMACIÓN,0.0018137354874083636,0.0,0.0016732734944026016,0.0,0.00022154180471816804,0.0,0.0010729520307827597,0.0,0.0012308765808246385,0.0,0.0005938457420344626,0.00016241676140977748,0.0003982116492269319,0.0,0.0002289171795142478,0.00016241676140977748,0.00039621625813455644,0.0006948130409730213,0.0020312405544196193,0.0009377154440803335,0.0003212136375399932,0.0,0.0006117495562071839,0.0,0.00016241676140977748,0.0,0.0004174727269914699,0.00048371441330476747,0.0006260103395041891,0.001252831317118628,0.00016241676140977748,0.0016792554825984303,0.0,0.0006405056463850192,0.0,0.0005370940738596454,0.0,0.0,0.001343980028708016,0.00022969198674242244,0.0,0.0022394136086413053,0.0,0.002045624864565032,0.0,0.0,0.0,0.0010795496707322457,0.0,0.0009535269005950691,0.0,0.0015744404345436384,0.0014107469292275751,0.0,0.0005523002135193777,0.00022969198674242244,0.00022969198674242246,0.0008544239979838282,0.0,0.0,0.0,0.00016241676140977748,0.0005965594685033948,0.0007432306764311451,0.0,0.0,0.0,0.0008437483427514163,0.0
SOFTWARE,0.0011647157527336287,0.0,0.0018938590943572788,0.0,0.0005122891249550251,0.0,0.004520113498463306,0.0,0.0015320069008399912,0.0,0.00037657294714496065,0.0002407991762937332,0.0010921629702223066,0.0,0.0,0.0002396375702199623,0.0006982556987451548,0.0006088830373483507,0.003122570471900668,0.0043986399183769,0.00023998690179962944,0.00017027073046143367,0.002141525118293182,0.0003404593066024138,0.0,0.0,0.0008307068226651541,0.0003798826310180256,0.002297116741313232,0.0012101945428731606,0.0,0.0005855691462679549,0.0,0.003060771215077997,0.0,0.0028894745185176307,0.0,0.0002948295589392356,0.006649572807825415,0.00017027073046143367,0.0,0.0010253422229499491,0.0,0.0022346754774134944,0.0,0.0009546701816148734,0.0,0.001287478285846851,0.0,0.0009149277869167063,0.0,0.0020040073098338985,0.0013071178271504974,0.0008539696005268692,0.00301394022452592,0.0004523532904027918,0.0005630951050333545,0.0007126818561237683,0.0,0.0,0.0,0.0,0.0007163441857002029,0.0,0.0,0.0,0.0,0.001151733048449751,0.0003788838805353957
TECNOLOGÍAS DE LA INFORMACIÓN,0.001473862869465794,0.00023640661938534278,0.001257893227568995,0.0,0.0,0.0,0.0014353449448182335,0.0,0.0009795925937248215,0.0,0.0009154168418648558,0.0,0.0013968384501911726,0.0003171727627659277,0.0,0.0,0.0,0.0011166449068783061,0.0017519702640474949,0.001275772165657165,0.0006662811935453179,0.0,0.0010629354776109966,0.0,0.0,0.0,0.0009220659865494383,0.00047052558833077376,0.0007448873117107489,0.0006352090157555665,0.00030992587869910524,0.0007443488887805683,0.0,0.000980071945694008,0.00023640661938534278,0.0005269242037039618,0.00023640661938534278,0.00023640661938534278,0.0016348129311989192,0.0,0.0,0.001218722719133041,0.0,0.0022898882753367416,0.00023640661938534278,0.0005280817443330252,0.0,0.001063727528525348,0.0,0.00045669367075232135,0.0,0.001116063136925402,0.002305612809454079,0.0,0.0006824647308916637,0.0004983135489964761,0.00023640661938534278,0.0010989478483930007,0.0004084177359921072,0.0,0.0,0.0,0.0005497241670864999,0.0,0.0,0.0,0.0,0.002621573386596,0.0
TELECOMUNICACIONES,0.0015247250970776497,0.0,0.0011974244898944806,0.00034071550255536625,0.00034071550255536625,0.0,0.001910128494040391,0.0,0.0005662517661293464,0.0,0.000759474316213186,0.00048153417743425895,0.0014940910646871978,0.00034071550255536625,0.0,0.00048021910537281897,0.00034071550255536625,0.0009667151609018893,0.0013553217881754043,0.000774407144294538,0.0008242048118339483,0.0,0.0005845040207281848,0.00034071550255536625,0.00034071550255536625,0.0,0.002246820473228067,0.0006770071917460548,0.000590136561352258,0.0005868225014076646,0.0028170886316564287,0.0006747895504215658,0.0,0.0009871445160081684,0.000761303892582186,0.0005283537748943455,0.0008432096285614449,0.0005999332911250405,0.0015715592333120784,0.0,0.0,0.0010720928183179457,0.0,0.00503818313210656,0.0,0.00034071550255536625,0.0,0.000679323973011979,0.0,0.0,0.0,0.001692236328778373,0.0024801646284151138,0.0005660530033662507,0.0008705662367926044,0.00034071550255536625,0.0007819072215382672,0.0007573085884676237,0.001046957956522594,0.0,0.00034071550255536625,0.0,0.00034071550255536625,0.0,0.0,0.0,0.0,0.00675647334805393,0.00034071550255536625
